name,website,careers_url,ats_type,ats_identifier
Content Guru Ltd,https://www.contentguru.com,https://www.contentguru.com/careers/,generic_careers,
Captify Media Ltd,https://www.captify.co.uk,https://www.captify.co.uk/careers/,generic_careers,
Netflix Services UK Limited,https://www.netflix.com,https://jobs.netflix.com/search,generic_careers,
Dept Agency UK Ltd,https://www.deptagency.com,https://www.deptagency.com/careers/,generic_careers,
Omaze UK Limited,https://omaze.co.uk,https://omaze.co.uk/pages/careers,generic_careers,
WPP 2005 Limited,https://www.wpp.com,https://www.wpp.com/en/careers,generic_careers,
Publicis Limited,https://www.publicisgroupeuk.com,https://www.publicisgroupeuk.com/careers,generic_careers,
Omnicom Media Group UK Limited,https://www.omnicommediagroup.com,https://www.omnicommediagroup.com/careers,generic_careers,
ITV Services Limited,https://www.itv.com,https://careers.itv.com,generic_careers,
Google UK Limited,https://www.google.com,https://www.google.com/about/careers/applications/jobs/results/?location=United%20Kingdom,generic_careers,
Amazon UK Services Ltd,https://www.amazon.jobs,https://www.amazon.jobs/en/locations/united-kingdom,generic_careers,
Apple UK Limited,https://www.apple.com,https://jobs.apple.com/en-gb/search?location=united-kingdom-GBR,generic_careers,
Warner Bros. Entertainment UK Limited,https://www.wbd.com,https://careers.wbd.com/global/en,generic_careers,
Paramount Pictures UK,https://www.paramount.com,https://www.paramount.com/careers,generic_careers,
TikTok Information Technologies UK Limited,https://www.tiktok.com,https://careers.tiktok.com/search,generic_careers,
